,Stichtag,Amtlicher Regionalschlüssel (ARS)__Code,Einwohner,Personen unter 18 Jahren,Personen 18 - 29 Jahre,Personen 30 - 49 Jahre,Personen 50 - 64 Jahre,Personen 65 Jahre und älter,Ausländeranteil,Durchschnittliche Haushaltsgröße,Durchschnittliche Nettokaltmiete/qm,Blockheizung,Etagenheizung,Fernheizung,Einzel-/ Mehrraumöfen,keine Heizung,Zentralheizung,Fernwärme,Gas,Holz/Holzpellets,Heizöl,Kohle,Solar/Geothermie/Wärmepumpe,Strom,kein Energieträger,Biomasse/Biogas,Leerstandsquote,Eigentümerquote,Gebäude vor 1919,Gebäude ab 1919 bis 1948,Gebäude ab 1949 bis 1978,Gebäude ab 1979 bis 1990,Gebäude ab 1991 bis 2000,Gebäude ab 2001 bis 2010,Gebäude ab 2011 bis 2019,Gebäude ab 2020 und später,Fläche__qkm,Einwohnerdichte
188,2022-05-15,8225,144470.0,24164.0,18179.0,34127.0,35232.0,32765.0,16050.0,2.2,5.99,452.0,1987.0,2136.0,7982.0,903.0,56622.0,2136.0,19868.0,8433.0,28492.0,43.0,3759.0,6364.0,903.0,88.0,5.5,64.4,4970.0,2731.0,18922.0,5891.0,5920.0,3131.0,2038.0,582.0,1125.95,128.30942759447578
189,2022-05-15,8226,554521.0,95386.0,67368.0,137228.0,131368.0,123170.0,75530.0,2.2,7.59,2808.0,10928.0,15913.0,16247.0,1581.0,224142.0,15913.0,122451.0,10476.0,93166.0,111.0,11054.0,16571.0,1581.0,292.0,4.2,53.5,11938.0,9898.0,58845.0,21035.0,16355.0,11873.0,8539.0,2033.0,1061.54,522.3740980085536
190,2022-05-15,8231,133110.0,24734.0,20102.0,34625.0,27059.0,26587.0,38173.0,2.2,7.47,439.0,6397.0,20303.0,2222.0,151.0,34243.0,20303.0,29146.0,1132.0,10109.0,12.0,1414.0,1409.0,151.0,78.0,3.7,35.1,1573.0,2307.0,8775.0,2495.0,1697.0,1130.0,1197.0,218.0,97.99,1358.4039187672213
191,2022-05-15,8235,159421.0,28089.0,20113.0,39174.0,37802.0,34249.0,25853.0,2.2,6.98,650.0,1915.0,1784.0,7139.0,603.0,68450.0,1784.0,19859.0,9497.0,39018.0,36.0,4466.0,5209.0,603.0,66.0,6.0,60.1,5158.0,2900.0,15288.0,6912.0,5338.0,3215.0,2631.0,748.0,797.3199999999999,199.9460693322631
192,2022-05-15,8236,197899.0,35044.0,24090.0,47696.0,47658.0,43410.0,27059.0,2.3,7.09,708.0,2801.0,2454.0,9478.0,652.0,77888.0,2454.0,35690.0,6778.0,34776.0,43.0,5545.0,7860.0,652.0,181.0,4.8,64.1,6151.0,4400.0,22124.0,9138.0,7050.0,4600.0,3608.0,912.0,573.61,345.0061888739736
193,2022-05-15,8237,120401.0,20882.0,16004.0,29046.0,28810.0,25658.0,16056.0,2.2,6.47,527.0,2061.0,4062.0,3981.0,440.0,49345.0,4062.0,15672.0,8540.0,26612.0,29.0,2456.0,2524.0,440.0,82.0,5.6,60.1,4720.0,3012.0,11838.0,4394.0,4079.0,2272.0,1677.0,542.0,870.4100000000001,138.3267655472708
194,2022-05-15,8311,233040.0,37931.0,49295.0,62650.0,42956.0,40207.0,40115.0,2.0,10.25,2894.0,11074.0,24427.0,4690.0,550.0,74152.0,24427.0,71850.0,4419.0,12346.0,3.0,2002.0,1317.0,550.0,871.0,2.4,27.6,3766.0,3362.0,10416.0,3402.0,2720.0,2324.0,1420.0,276.0,153.04,1522.739153162572
195,2022-05-15,8315,268937.0,47538.0,32970.0,64622.0,62689.0,61123.0,35469.0,2.2,8.01,1867.0,3338.0,6931.0,5212.0,588.0,113931.0,6931.0,62626.0,13966.0,38108.0,18.0,5076.0,4349.0,588.0,200.0,3.4,52.1,7410.0,3089.0,21811.0,10358.0,8729.0,6091.0,4849.0,1026.0,1378.33,195.11800512214057
196,2022-05-15,8316,166850.0,29566.0,20457.0,40806.0,39521.0,36503.0,19939.0,2.2,7.53,1302.0,3085.0,4012.0,4823.0,495.0,66739.0,4012.0,34231.0,10092.0,23722.0,4.0,3478.0,4338.0,495.0,82.0,3.4,54.5,4828.0,2724.0,12961.0,5486.0,5272.0,3821.0,3183.0,750.0,679.81,245.43622482752536
197,2022-05-15,8317,437242.0,76912.0,56493.0,106490.0,102212.0,95137.0,58909.0,2.2,6.8,2747.0,9907.0,10331.0,14459.0,1400.0,171509.0,10331.0,71522.0,25437.0,78155.0,37.0,11389.0,11934.0,1400.0,156.0,4.2,53.6,14505.0,8959.0,37815.0,14583.0,12657.0,9213.0,7184.0,1740.0,1850.3600000000001,236.30104412114397
198,2022-05-15,8325,138933.0,25074.0,17534.0,33341.0,32720.0,30264.0,18052.0,2.2,6.13,410.0,4629.0,3281.0,6297.0,609.0,53713.0,3281.0,24732.0,10558.0,23098.0,73.0,2597.0,3886.0,609.0,107.0,5.8,62.5,5659.0,4371.0,15041.0,5439.0,4925.0,3048.0,2295.0,740.0,769.43,180.5661333714568
199,2022-05-15,8326,210596.0,36764.0,27579.0,50861.0,47446.0,47941.0,35864.0,2.1,6.77,2800.0,5182.0,5503.0,3431.0,758.0,91386.0,5503.0,59849.0,9584.0,28581.0,22.0,2443.0,2122.0,758.0,190.0,5.0,52.4,6549.0,5534.0,18987.0,6341.0,5733.0,3266.0,2551.0,692.0,1025.34,205.39138237072584
200,2022-05-15,8327,142895.0,27153.0,19204.0,36317.0,31552.0,28665.0,26172.0,2.3,6.78,434.0,3571.0,3256.0,4509.0,399.0,54975.0,3256.0,27743.0,6663.0,23932.0,27.0,2364.0,2683.0,399.0,79.0,4.4,61.3,4405.0,3538.0,14407.0,5550.0,4996.0,2978.0,2316.0,641.0,734.37,194.58175034383214
201,2022-05-15,8335,287451.0,47846.0,44306.0,68645.0,64363.0,62295.0,46172.0,2.1,8.85,1669.0,8335.0,7421.0,4376.0,553.0,125884.0,7421.0,82396.0,10341.0,38271.0,22.0,5802.0,3248.0,553.0,183.0,3.2,44.8,7326.0,5555.0,20856.0,8047.0,7827.0,5149.0,4264.0,995.0,817.97,351.4199787278262
202,2022-05-15,8336,233949.0,42695.0,28847.0,58114.0,55150.0,49142.0,38331.0,2.1,8.24,1755.0,7537.0,6131.0,2693.0,651.0,97595.0,6131.0,72168.0,10317.0,21372.0,12.0,3873.0,1689.0,651.0,152.0,4.1,50.8,7311.0,4968.0,16890.0,7446.0,6934.0,4314.0,3121.0,673.0,806.67,290.018223065194
203,2022-05-15,8337,170100.0,31591.0,20668.0,41329.0,39130.0,37381.0,28342.0,2.2,7.04,620.0,4507.0,5484.0,4157.0,464.0,71440.0,5484.0,33594.0,13681.0,25593.0,33.0,4080.0,3634.0,464.0,102.0,5.2,54.6,5946.0,3279.0,14257.0,6545.0,5597.0,3284.0,3100.0,721.0,1131.17,150.3752751575802
204,2022-05-15,8415,289654.0,51073.0,38615.0,71748.0,66560.0,61660.0,47682.0,2.2,8.0,2101.0,6173.0,14016.0,10328.0,696.0,104838.0,14016.0,62690.0,12114.0,36544.0,24.0,5537.0,6347.0,696.0,187.0,4.0,57.8,7949.0,6886.0,28971.0,10550.0,8585.0,5822.0,4040.0,951.0,1027.83,281.81119445822753
205,2022-05-15,8416,229642.0,39289.0,42984.0,56972.0,47943.0,42457.0,32116.0,2.2,9.77,1938.0,4656.0,12446.0,5779.0,580.0,84322.0,12446.0,45061.0,9213.0,33656.0,32.0,4596.0,4004.0,580.0,132.0,3.5,50.9,6095.0,4187.0,18278.0,7879.0,6703.0,4869.0,3703.0,750.0,519.11,442.37637494943266
206,2022-05-15,8417,191793.0,32627.0,24301.0,46037.0,45551.0,43275.0,26758.0,2.2,6.68,400.0,2207.0,1897.0,8326.0,1026.0,79026.0,1897.0,23771.0,10021.0,47165.0,27.0,4235.0,4600.0,1026.0,134.0,5.3,66.2,7388.0,6614.0,25230.0,8017.0,6735.0,3697.0,2653.0,804.0,917.5699999999999,209.02274485870288
207,2022-05-15,8421,127116.0,20937.0,23075.0,34472.0,24223.0,24408.0,27684.0,2.1,8.76,343.0,4877.0,25308.0,2667.0,183.0,31071.0,25308.0,29020.0,1091.0,6037.0,27.0,1049.0,1666.0,183.0,64.0,3.2,35.2,1901.0,2360.0,8211.0,3312.0,2928.0,1625.0,1304.0,194.0,118.68,1071.08190091001
208,2022-05-15,8425,198553.0,36712.0,26329.0,50218.0,45429.0,39865.0,28088.0,2.3,7.09,738.0,2387.0,2264.0,8552.0,795.0,76702.0,2264.0,34387.0,11978.0,30982.0,70.0,5496.0,5301.0,795.0,171.0,4.8,64.1,5304.0,3741.0,21288.0,8055.0,8073.0,5443.0,4473.0,1116.0,1358.53,146.15282695266208
209,2022-05-15,8426,203323.0,38287.0,26712.0,52271.0,46179.0,39875.0,23691.0,2.3,7.05,960.0,2392.0,4262.0,9507.0,993.0,77376.0,4262.0,33542.0,11821.0,31666.0,71.0,7849.0,5061.0,993.0,220.0,4.6,61.8,7026.0,4066.0,18407.0,8417.0,9119.0,6142.0,5654.0,1287.0,1409.49,144.25288579557144
210,2022-05-15,8435,218476.0,36928.0,26453.0,53225.0,50253.0,51617.0,32385.0,2.1,8.53,1697.0,4116.0,4693.0,5842.0,463.0,97382.0,4693.0,63462.0,8291.0,27168.0,11.0,5279.0,4537.0,463.0,282.0,3.9,49.9,3977.0,3940.0,17958.0,8289.0,6576.0,4968.0,4127.0,888.0,664.75,328.65889432117336
211,2022-05-15,8436,285421.0,50831.0,39822.0,70582.0,65076.0,59113.0,34897.0,2.2,7.76,1616.0,5521.0,6222.0,9384.0,742.0,112090.0,6222.0,65110.0,15554.0,34975.0,31.0,7590.0,5156.0,742.0,199.0,3.5,54.6,8726.0,5385.0,24908.0,9901.0,9553.0,6444.0,5511.0,1185.0,1632.08,174.8817459928435
